dataset,DB,PC,XB,PE,NMI,ARI,PUR,F1,AC,n_iter
Iris,0.8340456051167716,0.7065106291312759,0.22205458648488066,0.5294206335558101,0.6659323679491873,0.6303393343888227,0.84,0.8399359743897558,0.84,23
Wine,1.3891879777181646,0.476147911205814,0.4689013561006943,0.8944215220709774,0.8758935341223069,0.8974949815093207,0.9662921348314607,0.9669286447361314,0.9662921348314607,27
DryBean,1.3458558074200544,0.38156936576238426,16.194329367472633,1.3167633908637693,0.719033487443532,0.6807002828330634,0.851737565204614,0.8653800608279008,0.851737565204614,200
